,area,type of property,bedrooms,bathrooms,price
0,Limerick City,1,2,2,115000
1,Limerick City,1,2,1,85000
2,Limerick City,1,4,4,290000
3,Dooradoyle,1,4,3,239000
4,Raheen,1,4,3,285000
5,Limerick City,0,2,2,149000
6,Ennis Road,1,4,3,275000
7,Castletroy,1,3,1,199000
8,Caherdavin,0,3,2,65000
9,Limerick City,1,5,4,295000
10,Dooradoyle,0,2,2,149000
11,Caherdavin,0,3,2,65000
12,Ballysimon,1,3,3,150000
13,Corbally,1,5,3,300000
14,North Circular Road,1,5,3,455000
15,Raheen,1,7,4,525000
16,Corbally,1,4,3,395000
17,Castletroy,1,4,3,650000
18,Castletroy,1,6,4,700000
19,Caherdavin,0,3,2,70000
20,Ennis Road,1,5,3,360000
21,Limerick City,1,3,3,225000
22,Limerick City,1,2,1,160000
23,Limerick City,0,2,2,125000
24,Limerick City,1,4,1,190000
25,Dooradoyle,1,3,2,199500
26,Limerick City,0,2,1,80000
27,Limerick City,0,1,1,90000
28,Ennis Road,1,3,1,250000
29,Monaleen,1,4,2,350000
30,Castletroy,1,4,4,290000
31,North Circular Road,1,5,4,250000
32,Limerick City,0,2,1,90000
33,Clareview,1,4,3,335000
34,Limerick City,1,2,1,140000
35,Dooradoyle,0,3,3,175000
36,Castletroy,1,4,3,440000
37,Castletroy,1,3,1,190000
38,Limerick City,0,2,1,129000
39,Limerick City,1,4,2,300000
40,Annacotty,1,2,1,230000
41,Limerick City,1,3,2,205000
42,Corbally,1,4,3,350000
43,Corbally,1,3,2,178000
44,Dooradoyle,0,2,2,145000
45,Annacotty,1,2,2,199000
46,North Circular Road,1,4,2,625000
47,Ballysimon,1,3,1,120000
48,Corbally,1,6,4,367500
49,Dooradoyle,1,3,2,189000
50,Castletroy,1,4,3,350000
51,North Circular Road,1,4,3,239000
52,Castletroy,0,2,2,75000
53,Janesboro,1,2,1,105000
54,Thomondgate,0,3,3,100000
55,Ennis Road,0,1,1,190000
56,Thomondgate,1,2,1,120000
57,North Circular Road,1,4,4,795000
58,Limerick City,1,3,2,155000
59,Castletroy,1,5,3,595000
60,Ballysimon,1,4,2,295000
61,South Circular Road,1,4,1,320000
62,South Circular Road,1,6,4,495000
63,Limerick City,0,2,1,105000
64,Caherdavin,1,4,2,135000
65,North Circular Road,0,2,2,290000
66,North Circular Road,0,1,1,250000
67,Castletroy,1,4,3,500000
68,South Circular Road,0,3,2,255000
69,Limerick City,1,3,3,227500
70,Limerick City,1,4,1,175000
71,Limerick City,1,3,3,225000
72,Limerick City,1,2,2,200000
73,North Circular Road,1,4,1,345000
74,Annacotty,1,4,3,215000
75,South Circular Road,1,4,1,195000
76,Rhebogue,1,4,3,195000
77,Dooradoyle,0,3,3,198000
78,Limerick City,0,2,2,95000
79,Limerick City,0,2,2,100000
80,Limerick City,1,4,3,257500
81,Moyross,1,3,1,80000
82,Castletroy,1,5,3,430000
