Company,Area,Skill,Count,% of Profiles
Facebook,Tools and Technologies,.NET,2,1%
Microsoft,Tools and Technologies,.NET,18,5%
Microsoft,Industry Knowledge,3D Printing,1,0%
Microsoft,Industry Knowledge,3G,1,0%
Google,Industry Knowledge,3G,1,1%
Facebook,other skills,3G,1,0%
Google,other skills,3GPP,1,1%
Facebook,Industry Knowledge,4G,2,1%
Google,Industry Knowledge,4G,1,1%
Microsoft,other skills,8051 Microcontroller,1,0%
Microsoft,other skills,8D Problem Solving,1,0%
Google,other skills,A/B Testing,1,1%
Microsoft,other skills,A/B Testing,7,2%
Amazon,other skills,A/B Testing,5,3%
Facebook,other skills,A/B Testing,11,3%
Amazon,other skills,Ab Initio,1,1%
Google,Tools and Technologies,ABAP,1,1%
Microsoft,Tools and Technologies,Abaqus,1,0%
Facebook,Industry Knowledge,Academic Writing,1,0%
Google,Tools and Technologies,Access,3,2%
Microsoft,Tools and Technologies,Access,6,2%
Amazon,Tools and Technologies,Access,5,3%
Facebook,Tools and Technologies,Access,10,3%
Google,Industry Knowledge,Account Management,1,1%
Facebook,other skills,Account Management,1,0%
Amazon,Industry Knowledge,Accounting,2,1%
Facebook,Industry Knowledge,Accounting,4,1%
Facebook,other skills,Acess,1,0%
Facebook,Tools and Technologies,Active Directory,1,0%
Microsoft,other skills,ActiveMQ,1,0%
Microsoft,other skills,Actuarial Exams,1,0%
Amazon,Industry Knowledge,Actuarial Science,1,1%
Facebook,Industry Knowledge,Actuarial Science,3,1%
Facebook,other skills,Ad Tech,1,0%
Microsoft,Industry Knowledge,Administration,1,0%
Amazon,Industry Knowledge,Admissions,1,1%
Microsoft,Tools and Technologies,Adobe Acrobat,1,0%
Amazon,Tools and Technologies,Adobe Creative Suite,1,1%
Facebook,Tools and Technologies,Adobe Creative Suite,4,1%
Microsoft,Tools and Technologies,Adobe Experience Design,1,0%
Facebook,Tools and Technologies,Adobe Fireworks,1,0%
Facebook,Tools and Technologies,Adobe Illustrator,2,1%
Amazon,Tools and Technologies,Adobe Photoshop,1,1%
Facebook,other skills,Adobe Site catalyst,1,0%
Facebook,Tools and Technologies,Advanced Excel,1,0%
Amazon,Tools and Technologies,Advanced Excel,1,1%
Facebook,other skills,Advanced Excel/Minitab/SPSS,1,0%
Facebook,Industry Knowledge,Advertising,6,2%
Google,Industry Knowledge,Advertising,3,2%
Facebook,other skills,Aerodynamics,1,0%
Facebook,Industry Knowledge,Aeronautics,1,0%
Facebook,other skills,Aeropress,1,0%
Facebook,Industry Knowledge,Aerospace,1,0%
Microsoft,Industry Knowledge,Aerospace,1,0%
Facebook,other skills,AFM,2,1%
Microsoft,other skills,Agent-based Modeling,1,0%
Facebook,Industry Knowledge,Agile,16,5%
Amazon,Industry Knowledge,Agile,10,6%
Google,Industry Knowledge,Agile,9,6%
Microsoft,Industry Knowledge,Agile,47,14%
Facebook,other skills,Agile Application Development,1,0%
Apple,Industry Knowledge,Agile Methodologies,8,4%
Facebook,other skills,Agility,1,0%
Microsoft,other skills,AI and Machine Learning,1,0%
Google,other skills,Airlines and Travel Agencies,1,1%
Facebook,Tools and Technologies,AIX,1,0%
Facebook,Tools and Technologies,AJAX,2,1%
Google,Tools and Technologies,AJAX,1,1%
Microsoft,Tools and Technologies,AJAX,2,1%
Microsoft,other skills,Algebra,1,0%
Facebook,other skills,Algorithm Design,1,0%
Microsoft,other skills,Algorithm Design,5,2%
Apple,Other Skills,Algorithm Design,5,3%
Microsoft,other skills,Algorithm Development,1,0%
Facebook,other skills,Algorithm Development,2,1%
Microsoft,other skills,Algorithmic Trading,1,0%
Amazon,Industry Knowledge,Algorithms,27,16%
Facebook,Industry Knowledge,Algorithms,66,19%
Google,Industry Knowledge,Algorithms,31,22%
Microsoft,Industry Knowledge,Algorithms,95,29%
Apple,Industry Knowledge,Algorithms,65,33%
Amazon,other skills,Alteryx,1,1%
Google,other skills,Alteryx,1,1%
Google,Tools and Technologies,Amazon AWS,7,5%
Facebook,other skills,Amazon EC2,1,0%
Amazon,other skills,Amazon EC2,1,1%
Amazon,other skills,Amazon EMR,1,1%
Microsoft,other skills,Amazon Mechanical Turk,1,0%
Amazon,other skills,Amazon Redshift,2,1%
Facebook,other skills,Amazon Redshift,2,1%
Facebook,Tools and Technologies,Amazon S3,1,0%
Amazon,Tools and Technologies,Amazon S3,1,1%
Amazon,other skills,Amazon Web Service,1,1%
Microsoft,Tools and Technologies,Amazon Web Services,1,0%
Microsoft,Tools and Technologies,Amazon Web Services (AWS),4,1%
Facebook,Tools and Technologies,Amazon Web Services (AWS),12,3%
Amazon,Tools and Technologies,Amazon Web Services (AWS),7,4%
Facebook,other skills,AMPL,1,0%
Microsoft,other skills,AMPL,2,1%
Apple,Industry Knowledge,Analysis,25,13%
Facebook,Industry Knowledge,Analysis,86,25%
Amazon,other skills,Analysis Services,1,1%
Facebook,other skills,Analysis Services,2,1%
Microsoft,other skills,Analysis Services,3,1%
Amazon,other skills,Analytic Solver Platform,1,1%
Facebook,other skills,Analytical Modelling,1,0%
Apple,Industry Knowledge,Analytics,49,25%
Facebook,Industry Knowledge,Analytics,106,30%
Microsoft,Industry Knowledge,Analytics,118,36%
Google,Industry Knowledge,Analytics,55,39%
Amazon,Industry Knowledge,Analytics,81,47%
Facebook,other skills,Analytics Instrumentation,1,0%
Microsoft,Industry Knowledge,and Safety (EHS),1,0%
Facebook,Tools and Technologies,Android,1,0%
Microsoft,Tools and Technologies,Android,3,1%
Amazon,Tools and Technologies,Android,3,2%
Google,Tools and Technologies,Android,3,2%
Amazon,Industry Knowledge,Android Development,1,1%
Facebook,Industry Knowledge,Android Development,2,1%
Google,Industry Knowledge,Android Development,1,1%
Microsoft,Industry Knowledge,Android Development,3,1%
Microsoft,other skills,Anglais,3,1%
Facebook,Tools and Technologies,angular js,1,0%
Google,Tools and Technologies,AngularJS,1,1%
Microsoft,Tools and Technologies,AngularJS,4,1%
Amazon,Tools and Technologies,AngularJS,3,2%
Facebook,Industry Knowledge,Animal Models,1,0%
Microsoft,Industry Knowledge,Animal Models,1,0%
Amazon,other skills,Animal Surgery,1,1%
Microsoft,other skills,ANOVA,1,0%
Amazon,other skills,ANOVA,1,1%
Google,Tools and Technologies,ANSYS,1,1%
Amazon,Tools and Technologies,ANSYS,4,2%
Microsoft,Tools and Technologies,Ant,1,0%
Google,Tools and Technologies,Ant,1,1%
Microsoft,Industry Knowledge,Anti Money Laundering,1,0%
Microsoft,Tools and Technologies,Antivirus,1,0%
Google,Tools and Technologies,Apache,1,1%
Amazon,other skills,Apache Hive,1,1%
Microsoft,other skills,Apache Kafka,1,0%
Google,other skills,Apache Pig,2,1%
Facebook,other skills,Apache Pig,6,2%
Microsoft,other skills,Apache Pig,7,2%
Apple,Other Skills,Apache Pig,7,4%
Amazon,other skills,Apache Pig,9,5%
Google,other skills,Apache Spark,5,4%
Microsoft,other skills,Apache Spark,14,4%
Facebook,other skills,Apache Spark,17,5%
Amazon,other skills,Apache Spark,10,6%
Apple,Other Skills,Apache Spark,16,8%
Amazon,other skills,Apache Storm,1,1%
Google,other skills,APIs,1,1%
Facebook,Tools and Technologies,Applicant Tracking Systems,1,0%
Microsoft,other skills,Application Monitoring,1,0%
Google,other skills,Applied Econometrics,1,1%
Facebook,other skills,Applied Machine Learning,1,0%
Facebook,other skills,Applied Mathematics,4,1%
Microsoft,other skills,Applied Mathematics,7,2%
Amazon,Industry Knowledge,Applied Statistics,1,1%
Amazon,other skills,Apriori Algorithm,1,1%
Facebook,other skills,Aquariums,1,0%
Microsoft,Tools and Technologies,ArcGIS,1,0%
Facebook,Tools and Technologies,ArcGIS,2,1%
Amazon,Tools and Technologies,ArcGIS,3,2%
Apple,Tools and Technologies,ArcGIS,7,4%
Amazon,other skills,ArcGIS Server,1,1%
Facebook,other skills,Archery,1,0%
Amazon,Industry Knowledge,Architecture,2,1%
Google,Industry Knowledge,Architecture,1,1%
Microsoft,Industry Knowledge,Architecture,5,2%
Facebook,other skills,Architecture,1,0%
Microsoft,Industry Knowledge,Architectures,3,1%
Facebook,Tools and Technologies,Arduino,1,0%
Microsoft,Tools and Technologies,Arduino,1,0%
Amazon,Tools and Technologies,Arduino,3,2%
Microsoft,other skills,Arena,1,0%
Amazon,other skills,Arena Simulation Software,1,1%
Facebook,other skills,Arena Simulation Software,2,1%
Microsoft,other skills,Arena Simulation Software,2,1%
Amazon,Industry Knowledge,Artificial Intelligence,10,6%
Facebook,Industry Knowledge,Artificial Intelligence,22,6%
Apple,Industry Knowledge,Artificial Intelligence,13,7%
Google,Industry Knowledge,Artificial Intelligence,12,9%
Microsoft,Industry Knowledge,Artificial Intelligence,29,9%
Facebook,other skills,Artificial Life,1,0%
Amazon,other skills,Artificial Neural Networks,2,1%
Facebook,other skills,Artificial Neural Networks,2,1%
Google,other skills,Artificial Neural Networks,1,1%
Microsoft,other skills,Artificial Neural Networks,5,2%
Facebook,other skills,Artificial Spin Ice,1,0%
Microsoft,Tools and Technologies,AS400,1,0%
Facebook,other skills,Asia Pacific,1,0%
Amazon,Tools and Technologies,ASP.NET,2,1%
Facebook,Tools and Technologies,ASP.NET,3,1%
Microsoft,Tools and Technologies,ASP.NET,9,3%
Microsoft,Industry Knowledge,Assay Development,1,0%
Amazon,Tools and Technologies,Assembly Language,1,1%
Microsoft,Tools and Technologies,Assembly Language,2,1%
Facebook,other skills,Assets Recovery,1,0%
Microsoft,other skills,Astronomy,1,0%
Facebook,other skills,Astrophysics,2,1%
Google,other skills,Astrophysics,1,1%
Microsoft,other skills,Astrophysics,2,1%
Microsoft,other skills,Atlassian JIRA,1,0%
Facebook,other skills,Attribution,1,0%
Facebook,other skills,Auctions,1,0%
Facebook,other skills,Audience Measurement,1,0%
Facebook,other skills,Audience Segmentation,1,0%
Google,Industry Knowledge,Audio Engineering,1,1%
Facebook,other skills,Audio Engineering,1,0%
Google,other skills,Audio Processing,1,1%
Facebook,Industry Knowledge,Auditing,1,0%
Microsoft,Industry Knowledge,Auditing,1,0%
Facebook,Tools and Technologies,AutoCAD,3,1%
Google,Tools and Technologies,AutoCAD,1,1%
Microsoft,Tools and Technologies,AutoCAD,3,1%
Amazon,Tools and Technologies,AutoCAD,5,3%
Microsoft,other skills,Automated Software Testing,1,0%
Amazon,Industry Knowledge,Automation,2,1%
Facebook,Industry Knowledge,Automation,2,1%
Microsoft,Industry Knowledge,Automation,4,1%
Microsoft,other skills,Awesomeness,1,0%
Microsoft,other skills,Awk,1,0%
Facebook,Tools and Technologies,AWS,2,1%
Google,Tools and Technologies,AWS,1,1%
Microsoft,Industry Knowledge,B2B,1,0%
Microsoft,other skills,B2B Analytics,1,0%
Google,Industry Knowledge,B2B Marketing,1,1%
Facebook,other skills,B2B Marketing,1,0%
Google,other skills,B2B Marketing Strategy,1,1%
Facebook,Tools and Technologies,Backbone.js,1,0%
Microsoft,Industry Knowledge,Banking,1,0%
Amazon,Industry Knowledge,Banking,2,1%
Facebook,Industry Knowledge,Banking,2,1%
Amazon,other skills,Basel II,1,1%
Facebook,Tools and Technologies,Bash,3,1%
Google,Tools and Technologies,Bash,2,1%
Microsoft,Tools and Technologies,Bash,5,2%
Amazon,Tools and Technologies,Bash,5,3%
Apple,Tools and Technologies,Bash,6,3%
Facebook,other skills,Basics of Unix,1,0%
Amazon,Industry Knowledge,Basketball,1,1%
Google,Industry Knowledge,Basketball,1,1%
Facebook,other skills,Basketball,1,0%
Google,other skills,Basketball Analytics,1,1%
Facebook,other skills,Bayesian inference,2,1%
Google,other skills,Bayesian inference,1,1%
Microsoft,Tools and Technologies,Bayesian inference,1,0%
Facebook,other skills,Bayesian methods,1,0%
Microsoft,other skills,Bayesian methods,1,0%
Amazon,other skills,Bayesian methods,3,2%
Google,other skills,Bayesian methods,3,2%
Google,other skills,Bayesian modeling,1,1%
Microsoft,other skills,Bayesian networks,1,0%
Amazon,other skills,Bayesian statistics,3,2%
Facebook,other skills,Bayesian statistics,7,2%
Microsoft,other skills,Bayesian statistics,6,2%
Apple,Other Skills,Bayesian statistics,7,4%
Google,other skills,Bayesian statistics,11,8%
Facebook,other skills,Behavioral Science,1,0%
Microsoft,other skills,Behavioral Targeting,1,0%
Google,other skills,Behavioral Targeting,1,1%
Google,other skills,Benchmarking,1,1%
Facebook,other skills,Benefit Cost Analysis,1,0%
Amazon,other skills,BFSI,1,1%
Google,Industry Knowledge,BGP,1,1%
Facebook,other skills,BGP,1,0%
Facebook,Industry Knowledge,Big Data,42,12%
Google,Industry Knowledge,Big Data,21,15%
Amazon,Industry Knowledge,Big Data,30,17%
Apple,Industry Knowledge,Big Data,34,17%
Microsoft,Industry Knowledge,Big Data,68,20%
Microsoft,other skills,Big Data Analysis,11,3%
Facebook,other skills,BIML,1,0%
Facebook,Industry Knowledge,Biochemistry,2,1%
Microsoft,Industry Knowledge,Biochemistry,3,1%
Google,other skills,Bioengineering,1,1%
Amazon,Industry Knowledge,Bioinformatics,1,1%
Apple,Industry Knowledge,Bioinformatics,6,3%
Facebook,Industry Knowledge,Bioinformatics,9,3%
Google,Industry Knowledge,Bioinformatics,6,4%
Microsoft,Industry Knowledge,Bioinformatics,12,4%
Facebook,Industry Knowledge,Biology,1,0%
Microsoft,Industry Knowledge,Biology,1,0%
Microsoft,other skills,Biomarker,1,0%
