date,weekday,contributions
10-Oct-17,Tuesday,0
11-Oct-17,Wednesday,0
12-Oct-17,Thursday,0
13-Oct-17,Friday,0
14-Oct-17,Saturday,0
15-Oct-17,Sunday,3
16-Oct-17,Monday,0
17-Oct-17,Tuesday,0
18-Oct-17,Wednesday,0
19-Oct-17,Thursday,0
20-Oct-17,Friday,0
21-Oct-17,Saturday,0
22-Oct-17,Sunday,0
23-Oct-17,Monday,0
24-Oct-17,Tuesday,0
25-Oct-17,Wednesday,0
26-Oct-17,Thursday,0
27-Oct-17,Friday,0
28-Oct-17,Saturday,0
29-Oct-17,Sunday,3
30-Oct-17,Monday,0
31-Oct-17,Tuesday,1
1-Nov-17,Wednesday,0
2-Nov-17,Thursday,0
3-Nov-17,Friday,0
4-Nov-17,Saturday,0
5-Nov-17,Sunday,0
6-Nov-17,Monday,0
7-Nov-17,Tuesday,0
8-Nov-17,Wednesday,1
9-Nov-17,Thursday,0
10-Nov-17,Friday,0
11-Nov-17,Saturday,0
12-Nov-17,Sunday,1
13-Nov-17,Monday,0
14-Nov-17,Tuesday,0
15-Nov-17,Wednesday,0
16-Nov-17,Thursday,1
17-Nov-17,Friday,0
18-Nov-17,Saturday,0
19-Nov-17,Sunday,0
20-Nov-17,Monday,0
21-Nov-17,Tuesday,0
22-Nov-17,Wednesday,0
23-Nov-17,Thursday,0
24-Nov-17,Friday,0
25-Nov-17,Saturday,0
26-Nov-17,Sunday,0
27-Nov-17,Monday,0
28-Nov-17,Tuesday,0
29-Nov-17,Wednesday,0
30-Nov-17,Thursday,0
1-Dec-17,Friday,0
2-Dec-17,Saturday,0
3-Dec-17,Sunday,0
4-Dec-17,Monday,0
5-Dec-17,Tuesday,0
6-Dec-17,Wednesday,0
7-Dec-17,Thursday,0
8-Dec-17,Friday,0
9-Dec-17,Saturday,0
10-Dec-17,Sunday,0
11-Dec-17,Monday,0
12-Dec-17,Tuesday,0
13-Dec-17,Wednesday,0
14-Dec-17,Thursday,0
15-Dec-17,Friday,0
16-Dec-17,Saturday,0
17-Dec-17,Sunday,0
18-Dec-17,Monday,0
19-Dec-17,Tuesday,0
20-Dec-17,Wednesday,0
21-Dec-17,Thursday,0
22-Dec-17,Friday,0
23-Dec-17,Saturday,0
24-Dec-17,Sunday,0
25-Dec-17,Monday,0
26-Dec-17,Tuesday,0
27-Dec-17,Wednesday,0
28-Dec-17,Thursday,0
29-Dec-17,Friday,0
30-Dec-17,Saturday,0
31-Dec-17,Sunday,0
1-Jan-18,Monday,0
2-Jan-18,Tuesday,0
3-Jan-18,Wednesday,0
4-Jan-18,Thursday,0
5-Jan-18,Friday,0
6-Jan-18,Saturday,0
7-Jan-18,Sunday,0
8-Jan-18,Monday,0
9-Jan-18,Tuesday,0
10-Jan-18,Wednesday,0
11-Jan-18,Thursday,0
12-Jan-18,Friday,0
13-Jan-18,Saturday,0
14-Jan-18,Sunday,0
15-Jan-18,Monday,0
16-Jan-18,Tuesday,0
17-Jan-18,Wednesday,0
18-Jan-18,Thursday,0
19-Jan-18,Friday,0
20-Jan-18,Saturday,0
21-Jan-18,Sunday,1
22-Jan-18,Monday,0
23-Jan-18,Tuesday,0
24-Jan-18,Wednesday,0
25-Jan-18,Thursday,0
26-Jan-18,Friday,0
27-Jan-18,Saturday,0
28-Jan-18,Sunday,0
29-Jan-18,Monday,0
30-Jan-18,Tuesday,0
31-Jan-18,Wednesday,0
1-Feb-18,Thursday,0
2-Feb-18,Friday,0
3-Feb-18,Saturday,0
4-Feb-18,Sunday,0
5-Feb-18,Monday,0
6-Feb-18,Tuesday,0
7-Feb-18,Wednesday,0
8-Feb-18,Thursday,0
9-Feb-18,Friday,0
10-Feb-18,Saturday,0
11-Feb-18,Sunday,0
12-Feb-18,Monday,0
13-Feb-18,Tuesday,0
14-Feb-18,Wednesday,32
15-Feb-18,Thursday,0
16-Feb-18,Friday,3
17-Feb-18,Saturday,0
18-Feb-18,Sunday,1
19-Feb-18,Monday,1
20-Feb-18,Tuesday,11
21-Feb-18,Wednesday,0
22-Feb-18,Thursday,0
23-Feb-18,Friday,0
24-Feb-18,Saturday,6
25-Feb-18,Sunday,2
26-Feb-18,Monday,0
27-Feb-18,Tuesday,3
28-Feb-18,Wednesday,3
1-Mar-18,Thursday,0
2-Mar-18,Friday,0
3-Mar-18,Saturday,0
4-Mar-18,Sunday,0
5-Mar-18,Monday,0
6-Mar-18,Tuesday,0
7-Mar-18,Wednesday,0
8-Mar-18,Thursday,12
9-Mar-18,Friday,2
10-Mar-18,Saturday,6
11-Mar-18,Sunday,10
12-Mar-18,Monday,8
13-Mar-18,Tuesday,2
14-Mar-18,Wednesday,0
15-Mar-18,Thursday,0
16-Mar-18,Friday,0
17-Mar-18,Saturday,0
18-Mar-18,Sunday,0
19-Mar-18,Monday,0
20-Mar-18,Tuesday,0
21-Mar-18,Wednesday,0
22-Mar-18,Thursday,0
23-Mar-18,Friday,2
24-Mar-18,Saturday,2
25-Mar-18,Sunday,1
26-Mar-18,Monday,1
27-Mar-18,Tuesday,1
28-Mar-18,Wednesday,1
29-Mar-18,Thursday,1
30-Mar-18,Friday,1
31-Mar-18,Saturday,2
1-Apr-18,Sunday,0
2-Apr-18,Monday,1
3-Apr-18,Tuesday,3
4-Apr-18,Wednesday,1
5-Apr-18,Thursday,1
6-Apr-18,Friday,4
7-Apr-18,Saturday,2
8-Apr-18,Sunday,1
9-Apr-18,Monday,1
10-Apr-18,Tuesday,1
11-Apr-18,Wednesday,9
12-Apr-18,Thursday,5
13-Apr-18,Friday,2
14-Apr-18,Saturday,10
15-Apr-18,Sunday,0
16-Apr-18,Monday,0
17-Apr-18,Tuesday,0
18-Apr-18,Wednesday,0
19-Apr-18,Thursday,2
20-Apr-18,Friday,0
21-Apr-18,Saturday,4
22-Apr-18,Sunday,3
23-Apr-18,Monday,1
24-Apr-18,Tuesday,0
25-Apr-18,Wednesday,0
26-Apr-18,Thursday,0
27-Apr-18,Friday,1
28-Apr-18,Saturday,1
29-Apr-18,Sunday,2
30-Apr-18,Monday,2
1-May-18,Tuesday,1
2-May-18,Wednesday,2
3-May-18,Thursday,2
4-May-18,Friday,2
5-May-18,Saturday,2
6-May-18,Sunday,2
7-May-18,Monday,2
8-May-18,Tuesday,3
9-May-18,Wednesday,2
10-May-18,Thursday,2
11-May-18,Friday,2
12-May-18,Saturday,4
13-May-18,Sunday,1
14-May-18,Monday,2
15-May-18,Tuesday,3
16-May-18,Wednesday,2
17-May-18,Thursday,4
18-May-18,Friday,4
19-May-18,Saturday,3
20-May-18,Sunday,3
21-May-18,Monday,3
22-May-18,Tuesday,4
23-May-18,Wednesday,3
24-May-18,Thursday,3
25-May-18,Friday,3
26-May-18,Saturday,3
27-May-18,Sunday,2
28-May-18,Monday,4
29-May-18,Tuesday,4
30-May-18,Wednesday,2
31-May-18,Thursday,2
1-Jun-18,Friday,1
2-Jun-18,Saturday,3
3-Jun-18,Sunday,3
4-Jun-18,Monday,3
5-Jun-18,Tuesday,4
6-Jun-18,Wednesday,24
7-Jun-18,Thursday,2
8-Jun-18,Friday,7
9-Jun-18,Saturday,4
10-Jun-18,Sunday,1
11-Jun-18,Monday,17
12-Jun-18,Tuesday,2
13-Jun-18,Wednesday,4
14-Jun-18,Thursday,6
15-Jun-18,Friday,15
16-Jun-18,Saturday,1
17-Jun-18,Sunday,19
18-Jun-18,Monday,14
19-Jun-18,Tuesday,6
20-Jun-18,Wednesday,8
21-Jun-18,Thursday,5
22-Jun-18,Friday,4
23-Jun-18,Saturday,14
24-Jun-18,Sunday,5
25-Jun-18,Monday,6
26-Jun-18,Tuesday,3
27-Jun-18,Wednesday,5
28-Jun-18,Thursday,4
29-Jun-18,Friday,3
30-Jun-18,Saturday,3
1-Jul-18,Sunday,2
2-Jul-18,Monday,3
3-Jul-18,Tuesday,4
4-Jul-18,Wednesday,1
5-Jul-18,Thursday,3
6-Jul-18,Friday,5
7-Jul-18,Saturday,4
8-Jul-18,Sunday,3
9-Jul-18,Monday,14
10-Jul-18,Tuesday,5
11-Jul-18,Wednesday,3
12-Jul-18,Thursday,3
13-Jul-18,Friday,4
14-Jul-18,Saturday,6
15-Jul-18,Sunday,4
16-Jul-18,Monday,4
17-Jul-18,Tuesday,3
18-Jul-18,Wednesday,5
19-Jul-18,Thursday,5
20-Jul-18,Friday,5
21-Jul-18,Saturday,5
22-Jul-18,Sunday,5
23-Jul-18,Monday,25
24-Jul-18,Tuesday,4
25-Jul-18,Wednesday,5
26-Jul-18,Thursday,9
27-Jul-18,Friday,3
28-Jul-18,Saturday,2
29-Jul-18,Sunday,5
30-Jul-18,Monday,6
31-Jul-18,Tuesday,18
1-Aug-18,Wednesday,3
2-Aug-18,Thursday,3
3-Aug-18,Friday,3
4-Aug-18,Saturday,2
5-Aug-18,Sunday,5
6-Aug-18,Monday,10
7-Aug-18,Tuesday,2
8-Aug-18,Wednesday,12
9-Aug-18,Thursday,7
10-Aug-18,Friday,4
11-Aug-18,Saturday,2
12-Aug-18,Sunday,4
13-Aug-18,Monday,3
14-Aug-18,Tuesday,4
15-Aug-18,Wednesday,4
16-Aug-18,Thursday,2
17-Aug-18,Friday,3
